song_name;artist;cover_image;duration;genre;tempo;activity;mood;release_year
Chun-Li;Nicki Minaj;https://i.scdn.co/image/39d4e59532356a393989fcbbe4335f47c6a62ce1;191600;2;2;2;2;2018
Clap Back;Ja Rule;https://i.scdn.co/image/083142daab807d572215c9098cb86ace14256efc;296467;2;2;2;2;2003
Club At The End Of The Street;Elton John;https://i.scdn.co/image/6a60201cd48ca32db48186b729bb1c61e5969f09;292173;1;2;2;1;1989
Cold Rock a Party;MC Lyte;https://i.scdn.co/image/5bfea67b20718d9706b72ac86c4525dc54a77bc1;247307;4;2;2;3;1996
Cold World;Inspectah Deck;https://i.scdn.co/image/54eba36fcbfda321ed4b929159626afec76b8d5c;331000;4;2;2;3;1995
Come & Talk To Me;Jodeci;https://i.scdn.co/image/bbf48175f31ec0d2d05a7d3d91c6b0edd2599a59;270573;2;1;1;4;2005
Come Back to Earth;Mac Miller;https://i.scdn.co/image/00f1b797cf233069db9eec18683cee4a47d95171;161840;4;3;3;3;2018
Come Over to My Place;Davina;https://i.scdn.co/image/23574d63731b6d1e2493d59a0f2a97b6857900a7;236076;2;3;3;3;2015
Come To My Window;Melissa Etheridge;https://i.scdn.co/image/fe2feab68a0706530b48708b510b7bdcefcd4e4a;236000;10;2;5;3;1993
Come Together;Aerosmith;https://i.scdn.co/image/96f22afcf6eaf5d1a9deb873ee3586f0911b1c6b;224600;1;1;1;1;1980
Come Undone;Duran Duran;https://i.scdn.co/image/3daf5475fe6260a42459a7d9b4af528fe0251e88;256520;2;1;1;4;1993
Control;Puddle Of Mudd;https://i.scdn.co/image/e4f9ccd6e02ebd8fdf3e9b31c965a0b8202346e1;230067;8;1;1;4;1986
Cool Kids;Echosmith;https://i.scdn.co/image/e0cff5c6f0782b007472042f33f7daecf83b17de;237627;2;1;1;4;2013
Cover You in Kisses;John Michael Montgomery;https://i.scdn.co/image/dd75b9666fa84f390fc0f45458fadce5e2df168f;236667;3;2;3;3;1998
Crazy Beautiful Life;Kesha;https://i.scdn.co/image/4d0c02a2e8e2a531af591e8520ffd34e009184fa;170213;2;2;2;2;2010
Crazy Love;CeCe Peniston;https://i.scdn.co/image/6d1bfdf600af9e17e7656c8fb6d818629e4c17a0;288600;2;2;2;2;1978
Crazy for This Girl;Evan And Jaron;https://i.scdn.co/image/bb554561e0106470b5caf207c6c02e7d3330c6a8;202027;5;2;3;5;2000
Creep;TLC;https://i.scdn.co/image/7ba2f43945e9b6b2c32cb16720e73bc4d63425c4;268533;4;2;2;3;1993
Criminal;Fiona Apple;https://i.scdn.co/image/b92887afedc66e78f913a7ba8a304d738a8d6a15;341533;2;3;3;3;1996
Cruising For Bruising;Basia;https://i.scdn.co/image/d4de2bafac63f8b204c7331ab89d6287ad3544cc;249827;9;2;5;3;1990
Cry;Faith Hill;https://i.scdn.co/image/717e65b393e0b99664bda1c04c000cd37b71ffb6;226307;3;2;3;3;2002
Cry Me A River;Joe Cocker;https://i.scdn.co/image/ae1886fe14ae3779f257d381391a1d5744740478;240173;1;1;1;1;2002
Cryin' Like A Bitch!!;Godsmack;https://i.scdn.co/image/71a839f621da1c3898e3f3d2a90839f31f66d34e;201667;8;2;4;6;2010
Cudi Montage;KIDS SEE GHOSTS;https://i.scdn.co/image/64cc5671890ba19c6c42a533eed08da56d29bdca;197001;4;2;2;3;2018
DARE;Gorillaz;https://i.scdn.co/image/b1726c4ceb855e74841bbfe50aaa0c7aec6a54d0;245000;4;2;2;3;2005
DJ Play A Love Song;Twista;https://i.scdn.co/image/7c8786ef0f8ac8c609181e68bfff2450ce3eb5a7;258800;4;2;2;3;2005
Dancin' With My Mirror;Corey Hart;https://i.scdn.co/image/df62b38e041bc0454a98fb20ee4340e41e092881;258933;1;1;1;1;1986
Dancing On My Own;Calum Scott;https://i.scdn.co/image/d697053ca89058889da2ddfff6b61566be4c97c8;260285;2;2;2;2;2018
Dancing with the Mountains;John Denver;https://i.scdn.co/image/230cb59f77d63b465e50f0428b2f3ab74eba6a81;241560;10;2;5;3;1984
Dark Queen;Lil Uzi Vert;https://i.scdn.co/image/0ea8577fe124691ddce00bccf9677b16166a21db;173419;4;1;1;4;2017
